NCODE,No,ECLATER (catalogue 4),REPERE (info_libre),REFERENCE (info_libre),DESIGN. Français (langue2),ANGLAIS (désignation),ANCIEN CODE (info_libre),EMPLACEMENT,FAMILLE,,CATALOG1,CATALOG2,CATALOG3,UNITE,REPERE2,ECLATE2,REPERE3,ECLATE3,REPERE4,ECLATE4,REPERE5,ECLATE5,REPERE6,ECLATE6,REPERE7,ECLATE7,REPERE8,ECLATE8,REPERE9,ECLATE9,REPERE10,ECLATE10,REPERE11,ECLATE11,REPERE12,ECLATE12,REPERE13,ECLATE13,REPERE14,ECLATE14,REPERE15,ECLATE15,RMRQ,REF_ALT,,PICT1,PICT2,PICT3,PICT4
7123-BOUL02-001,41,02TIMING GEAR CASE & FLYWHEEL HOUSING,20150,65.90001-6002,BOULON ASS'Y 12X1.5X45,BOLT ASS'Y 12x1.5x45,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-BOUL02-002,42,02TIMING GEAR CASE & FLYWHEEL HOUSING,10140,06.01943-3320,BOULON ASS'Y M12X1.5X45,BOLT ASS'Y M12x1.5x45,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-BOUL02-003,43,02TIMING GEAR CASE & FLYWHEEL HOUSING,10350,06.01953-3326,BOULON ASS'Y M12X1.5X75,BOLT ASS'Y M12x1.5x75,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-BOUL02-004,44,02TIMING GEAR CASE & FLYWHEEL HOUSING,10340,06.01923-2917,BOULON M6X30,BOLT ASS'Y M6x30,0701-BOLT00-009,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0027,0,0,0
7123-BOUL02-005,45,02TIMING GEAR CASE & FLYWHEEL HOUSING,20120,06.02074-0317,BOULON REAMER M14X2X90,BOLT ; REAMER M14x2x90,0701-BOLT00-011,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0026,0,0,0
7123-BOUL02-006,46,02TIMING GEAR CASE & FLYWHEEL HOUSING,10400,65.90001-0004,BOULON|HEX.,BOLT ; HEX.,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-CAPT02-001,47,02TIMING GEAR CASE & FLYWHEEL HOUSING,20270,65.27103-7007,CAPTEUR,SENSOR,0701-SENS00-003,RD22,7PDR,5MDP,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0039,0,0,0
7123-CAPT02-002,48,02TIMING GEAR CASE & FLYWHEEL HOUSING,20270,65.27535-6008,CAPTEUR PRESSION D'HUILE,"SENSOR, OIL PRESSURE",0701-SENS00-004,RD22,7PDR,5MDP,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0040,0,0,0
7123-CASE02-001,49,02TIMING GEAR CASE & FLYWHEEL HOUSING,10010,65.01304-0024,CASE|PIGNON DE DISTRIBUTION,CASE ; TIMING GEAR,0,RD22,7PDR,5MDP,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-ECRO02-001,50,02TIMING GEAR CASE & FLYWHEEL HOUSING,20140,06.11063-8217,ECROU|HEX. M14,NUT ; HEX. M14,0,RD22,7PDR,3FEC,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-GOUP02-001,51,02TIMING GEAR CASE & FLYWHEEL HOUSING,10100,65.91010-0017,GOUPILLE|GOUJON 8M6X60,PIN ; DOWEL 8M6x60,0,RD22,7PDR,7PDR,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-JOIN02-001,52,02TIMING GEAR CASE & FLYWHEEL HOUSING,10120,65.01903-0048B,JOINT 65.01903-0048B,GASKET 65.01903-0048B,0701-GASK00-126,RD22,7PDR,7PDR,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0030,0,0,0
7123-JOIN02-002,53,02TIMING GEAR CASE & FLYWHEEL HOUSING,10320,65.01903-0050,JOINT BOITIER D'ENGRENAGE DE DISTRIBUTION,GASKET;T1MINGGEARCASECOVER,0701-GASK00-127,RD22,7PDR,7PDR,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0033,10320,0,0
7123-JOIN02-003,54,02TIMING GEAR CASE & FLYWHEEL HOUSING,20100,65.01904-0022A,JOINT DE BOITIER,GASKET ; FLYWHEEL HOUSING,0701-GASK00-128,RD22,7PDR,7PDR,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0029,0,0,0
7123-LOGE02-001,55,02TIMING GEAR CASE & FLYWHEEL HOUSING,20020,65.01401-01941,LOGEMENT|VOLANT,HOUSING ; FLYWHEEL,0,RD22,7PDR,7PDR,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-PARE02-001,56,02TIMING GEAR CASE & FLYWHEEL HOUSING,10610,65.01510-0157,PARE HUILE 65.01510-0157,SEAL ; OIL,0701-SEAL00-030,RD22,7PDR,7PDR,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0035,IMG_0036,10610,0
7123-PARE02-002,57,02TIMING GEAR CASE & FLYWHEEL HOUSING,20210,65.01510-0158,PARE HUILE 65.01510-0158,SEAL ; OIL,0701-SEAL00-031,RD22,7PDR,7PDR,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0037,IMG_0038,0,0
7123-TIMI02-001,58,02TIMING GEAR CASE & FLYWHEEL HOUSING,10210,65.01305-5049G,TIMING COVER CASE PIGNON ASS'Y,TIMING GEAR CASE COVER ASS'Y,0,RD22,7PDR,7PDR,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-AMOR03-001,61,03DRIVING SYSTEM ,20010,65.02201-7032,AMORTISSEUR VISQUE (ALT),DAMPER ; VISCOUS(ALT),0701-DAMP00-001,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG (5),0,0,0
7123-AMOR03-002,62,03DRIVING SYSTEM ,20021,65.02201-7033,AMORTISSEUR|VISQUE,DAMPER ; VISCOUS,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-AMOR03-003,63,03DRIVING SYSTEM ,20030,65.02201-7034,AMORTISSEUR|VISQUE,DAMPER ; VISCOUS,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-ARBR03-001,64,03DRIVING SYSTEM ,10500,65.02115-0008B,ARBRE DE MANIVELLE D'ENGRENAGE,GEAR ; CRANK SHAFT,0701-CRAN00-005,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG (6),IMG (7),0,0
7123-ARBR03-002,65,03DRIVING SYSTEM ,10100,65.02101-0057A,ARBRE|MANIVELLE,SHAFT ; CRANK,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-ARBR03-003,66,03DRIVING SYSTEM ,10200,65.02101-0060A,ARBRE|MANIVELLE,SHAFT ; CRANK,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-ARBR03-004,67,03DRIVING SYSTEM ,10310,65.02101-0054A,ARBRE|MANIVELLE,SHAFT ; CRANK,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-BAGU03-001,68,03DRIVING SYSTEM ,50040,65.02503-0105,BAGUE,RING ; OIL,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-BAGU03-002,69,03DRIVING SYSTEM ,40050,65.02405-1006,BAGUE DE TIGE DE RACCORDEMENT,BUSH ;CONNECTING ROD,0701-BUSH00-011,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0050,0,0,0
7123-BAGU03-003,70,03DRIVING SYSTEM ,30040,65.02310-0011A,BAGUE DEMARREUR,GEAR ; STARTER RING,0701-GEAR00-003,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG (8),0,0,0
7123-BAGU03-004,71,03DRIVING SYSTEM ,50030,65.02503-0097,BAGUE|2EME,RING ; 2ND,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-BAGU03-005,72,03DRIVING SYSTEM ,40050,65.02405-1010,BAGUE|BIELLE,BUSH ; CONNECTING ROD,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-BAGU03-006,73,03DRIVING SYSTEM ,50020,65.02503-0057,BAGUE|HAUT,RING ; TOP,0701-PIST00-054,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG (17),IMG (18),0,0
7123-BIEL03-001,74,03DRIVING SYSTEM ,40010,65.02401-6012G,BIELLE COMPLET,ROD ; CONNECTING,0701-ROD000-001,RD21,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG (27),IMG (28),IMG (29),0
7123-BIEL03-002,75,03DRIVING SYSTEM ,40020,65.02401-0045G,BIELLE|DE LIAISON,ROD ; CONNECTING,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-BIEL03-003,76,03DRIVING SYSTEM ,40070,65.02401-6017B,BIELLE|DE LIAISON,ROD ; CONNECTING,0701-META00-011,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG (19),IMG (20),0,0
7123-BIEL03-004,77,03DRIVING SYSTEM ,40070,65.02401-6108,BIELLE|DE LIAISON,ROD ; CONNECTING,0701-META00-012,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG (21),IMG (22),0,0
7123-BIEL03-005,78,03DRIVING SYSTEM ,40070,65.02401-6109,BIELLE|DE LIAISON,ROD ; CONNECTING,0701-META00-013,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG (23),IMG (24),0,0
7123-BIEL03-006,79,03DRIVING SYSTEM ,40070,65.02401-6110,BIELLE|DE LIAISON,ROD ; CONNECTING,0701-META00-014,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG (25),IMG (26),0,0
7123-BOUL03-001,80,03DRIVING SYSTEM ,60040,65.90030-0013A,BOULON,BOLT ; SOCKET HEAD,0701-BOLT00-015,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0048,0,0,0
